Col_1,Col_2
calcium chloride,CaCl2
potassium chloride,KCl
sodium chloride,NaCl
magnesium chloride,MgCl2
potassium fluoride,KF
sodium fluoride,NaF
calcium fluoride,CaF2
potassium bromide,KBr
sodium bromide,NaBr
lithium bromide,LiBr
lithium hydroxide,LiOH
sodium hydroxide,NaOH
potassium hydroxide,KOH
calcium oxide,CaO
potassium oxide,K2O
sodium oxide,Na2O
potassium sulfate,K2SO4
titanium oxide,TiO2
iron oxide,Fe2O3
iron oxide,Fe3O4
sodium sulfate,Na2SO4
calcium sulfate,CaSO4
calcium carbonate,CaCO3
potassium carbonate,K2CO3
lithium carbonate,Li2CO3
sodium carbonate,Na2CO3
calcium sulfide,CaS
fullerene,C60
sodium iodide,NaI
potassium iodide,KI
potassium permanganate,KMnO4
potassium perchlorate,KClO4
potassium dichromate,K2Cr2O7
hydrochloric acid,HCl
sulfuric acid,H2SO4
nitric acid,HNO3
hydrogen fluoride,HF
carbon monoxide,CO
carbon dioxide,CO2
oxygen,O2
hydrogen sulfide,H2S
sulfur dioxide,SO2
carbonic acid,H2CO3
hydrogen peroxide,H2O2
hydrogen bromide,HBr
water,H2O
ozone,O3
nitrous acid,HNO2
phosphoric acid,H3PO4
hypophosphorous acid,H3PO2
